_MEMBER_LN_meta,_MEMBER_N0,_LogP_LN_meta,_LogP_N0,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByGini,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,BestGiniInGroup,URL
0,1,0.0,-29.671777029333448,R-HSA-1280218,M01,1,0.4673967374292127,Reactome Gene Sets,6,Adaptive Immune System,,-41.44952839846998,3.865332659105685,17.437503515786535,28162,763,1270,133,10.472440944881889,0.8592122720608457,160|208|567|718|801|805|811|829|868|912|915|916|917|919|920|925|926|929|940|947|948|959|972|998|1211|1278|1281|1493|1514|1759|1780|2209|2213|2214|2533|2534|2885|2923|3093|3105|3106|3107|3111|3112|3117|3120|3127|3133|3134|3135|3146|3309|3383|3635|3683|3689|3702|3805|3821|3824|3932|3937|4688|4689|5133|5293|5335|5515|5527|5530|5567|5579|5588|5698|5699|5721|5788|5819|5908|5966|6233|6279|6280|6500|6502|6712|6714|6737|6850|6892|7099|7220|7277|7280|7314|7318|7323|7334|7335|7428|7529|7534|7535|7846|8519|8673|8767|9021|9398|9402|10125|10381|10382|11127|22914|26191|27040|29851|30011|50852|51466|54209|55294|55824|57674|80228|81035|114876|117145|130340|151888|347733|100528032,AP2A1|AKT2|B2M|C3|CALM1|CALM2|CALR|CAPZA1|CBLB|CD1D|CD3D|CD3E|CD3G|CD247|CD4|CD8A|CD8B|CD14|CD28|CD34|CD36|CD40LG|CD74|CDC42|CLTA|COL1A2|COL3A1|CTLA4|CTSL|DNM1|DYNC1I1|FCGR1A|FCGR2B|FCGR3A|FYB1|FYN|GRB2|PDIA3|UBE2K|HLA-A|HLA-B|HLA-C|HLA-DOA|HLA-DOB|HLA-DQA1|HLA-DQB2|HLA-DRB5|HLA-E|HLA-F|HLA-G|HMGB1|HSPA5|ICAM1|INPP5D|ITGAL|ITGB2|ITK|KIR2DL4|KLRC1|KLRD1|LCK|LCP2|NCF2|NCF4|PDCD1|PIK3CD|PLCG1|PPP2CA|PPP2R5C|PPP3CA|PRKACB|PRKCB|PRKCQ|PSMB9|PSMB10|PSME2|PTPRC|NECTIN2|RAP1B|REL|RPS27A|S100A8|S100A9|SKP1|SKP2|SPTBN2|SRC|TRIM21|SYK|TAPBP|TLR4|TRPC1|TUBA4A|TUBB2A|UBB|UBA7|UBE2D3|UBE2N|UBE2V1|VHL|YWHAB|YWHAZ|ZAP70|TUBA1A|IFITM1|VAMP8|RIPK2|SOCS3|CD101|GRAP2|RASGRP1|TUBB3|TUBB4A|KIF3A|KLRK1|PTPN22|LAT|ICOS|SH3KBP1|TRAT1|EVL|TREM2|FBXW7|PAG1|RNF213|ORAI2|COLEC12|OSBPL1A|THEM4|AP1S3|BTLA|TUBB2B|KLRC4-KLRK1,-39.18641858802794,3.0,1,1,1,1,-41.44952839846998,5.711691720353137,0.4673967374292127,
1,1,-2.5992058225678925,-19.41085461769255,R-HSA-198933,M11,2,0.3819082832769751,Reactome Gene Sets,6,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,-16.196347523659462,5.711691720353137,11.791434139516928,28162,132,1270,34,2.677165354330709,0.4529425413305338,567|718|912|915|916|917|919|925|926|947|959|1278|1281|2209|2213|2214|3105|3106|3107|3133|3134|3135|3383|3683|3689|3805|3821|3824|5819|8519|22914|54209|81035|100528032,B2M|C3|CD1D|CD3D|CD3E|CD3G|CD247|CD8A|CD8B|CD34|CD40LG|COL1A2|COL3A1|FCGR1A|FCGR2B|FCGR3A|HLA-A|HLA-B|HLA-C|HLA-E|HLA-F|HLA-G|ICAM1|ITGAL|ITGB2|KIR2DL4|KLRC1|KLRD1|NECTIN2|IFITM1|KLRK1|TREM2|COLEC12|KLRC4-KLRK1,-14.967999819476637,3.0,1,0,0,0,-41.44952839846998,5.711691720353137,0.4673967374292127,
1,1,-9.783485107845443,-2.7061001752780256,ko04530,M11,2,0.2833314626599621,KEGG Pathway,24,Tight junction,,-25.4557341817008,6.3915609078276985,15.322737344971149,28162,170,1270,49,3.858267716535433,0.5404434908808682,60|71|595|776|861|912|998|1019|1080|1364|1365|1366|2017|2064|3059|3725|4620|4627|4629|4633|4637|5515|5563|5567|5599|5602|6714|7074|7082|7122|7277|7430|7846|8976|9071|9073|9181|10627|23562|53632|53842|56288|79784|83700|92359|103910|140465|149461|154796,ACTB|ACTG1|CCND1|CACNA1D|RUNX1|CD1D|CDC42|CDK4|CFTR|CLDN4|CLDN3|CLDN7|CTTN|ERBB2|HCLS1|JUN|MYH2|MYH9|MYH11|MYL2|MYL6|PPP2CA|PRKAA2|PRKACB|MAPK8|MAPK10|SRC|TIAM1|TJP1|CLDN5|TUBA4A|EZR|TUBA1A|WASL|CLDN10|CLDN8|ARHGEF2|MYL12A|CLDN14|PRKAG3|CLDN22|PARD3|MYH14|JAM3|CRB3|MYL12B|MYL6B|CLDN19|AMOT,-23.806583585886433,3.0,2,0,0,0,-25.4557341817008,7.197085232766957,0.2833314626599621,
1,1,-2.4141319834240433,-5.502486530150506,hsa04670,M11,2,0.19505515779438465,KEGG Pathway,24,Leukocyte transendothelial migration ,,-21.37063358594787,7.197085232766957,14.407986441191643,28162,114,1270,37,2.9133858267716537,0.4719291666634544,60|71|998|1364|1365|1366|1500|2771|3383|3683|3689|3702|4633|4688|4689|5293|5335|5579|5880|5908|6300|6387|7122|7414|7430|7852|9071|9073|10451|10627|23562|29119|29895|53842|83700|103910|149461,ACTB|ACTG1|CDC42|CLDN4|CLDN3|CLDN7|CTNND1|GNAI2|ICAM1|ITGAL|ITGB2|ITK|MYL2|NCF2|NCF4|PIK3CD|PLCG1|PRKCB|RAC2|RAP1B|MAPK12|CXCL12|CLDN5|VCL|EZR|CXCR4|CLDN10|CLDN8|VAV3|MYL12A|CLDN14|CTNNA3|MYLPF|CLDN22|JAM3|MYL12B|CLDN19,-19.956054991358485,3.0,2,0,0,0,-25.4557341817008,7.197085232766957,0.2833314626599621,
1,1,-2.4141319834240433,-5.502486530150506,ko04670,M11,2,0.19505515779438465,KEGG Pathway,24,Leukocyte transendothelial migration,,-21.37063358594787,7.197085232766957,14.407986441191643,28162,114,1270,37,2.9133858267716537,0.4719291666634544,60|71|998|1364|1365|1366|1500|2771|3383|3683|3689|3702|4633|4688|4689|5293|5335|5579|5880|5908|6300|6387|7122|7414|7430|7852|9071|9073|10451|10627|23562|29119|29895|53842|83700|103910|149461,ACTB|ACTG1|CDC42|CLDN4|CLDN3|CLDN7|CTNND1|GNAI2|ICAM1|ITGAL|ITGB2|ITK|MYL2|NCF2|NCF4|PIK3CD|PLCG1|PRKCB|RAC2|RAP1B|MAPK12|CXCL12|CLDN5|VCL|EZR|CXCR4|CLDN10|CLDN8|VAV3|MYL12A|CLDN14|CTNNA3|MYLPF|CLDN22|JAM3|MYL12B|CLDN19,-19.956054991358485,3.0,2,0,0,0,-25.4557341817008,7.197085232766957,0.2833314626599621,
1,1,-9.783485107845443,-2.7061001752780256,hsa04530,M11,2,0.2833314626599621,KEGG Pathway,24,Tight junction ,,-25.4557341817008,6.3915609078276985,15.322737344971149,28162,170,1270,49,3.858267716535433,0.5404434908808682,60|71|595|776|861|912|998|1019|1080|1364|1365|1366|2017|2064|3059|3725|4620|4627|4629|4633|4637|5515|5563|5567|5599|5602|6714|7074|7082|7122|7277|7430|7846|8976|9071|9073|9181|10627|23562|53632|53842|56288|79784|83700|92359|103910|140465|149461|154796,ACTB|ACTG1|CCND1|CACNA1D|RUNX1|CD1D|CDC42|CDK4|CFTR|CLDN4|CLDN3|CLDN7|CTTN|ERBB2|HCLS1|JUN|MYH2|MYH9|MYH11|MYL2|MYL6|PPP2CA|PRKAA2|PRKACB|MAPK8|MAPK10|SRC|TIAM1|TJP1|CLDN5|TUBA4A|EZR|TUBA1A|WASL|CLDN10|CLDN8|ARHGEF2|MYL12A|CLDN14|PRKAG3|CLDN22|PARD3|MYH14|JAM3|CRB3|MYL12B|MYL6B|CLDN19|AMOT,-23.806583585886433,3.0,2,1,1,1,-25.4557341817008,7.197085232766957,0.2833314626599621,
1,0,-13.756351789199908,0.0,R-HSA-9010553,M10,1,0.4322325725026497,Reactome Gene Sets,6,Regulation of expression of SLITs and ROBOs,,-32.27135672501953,7.261923838467561,17.848880203573454,28162,171,1270,56,4.409448818897638,0.5760998676296518,1605|1981|3921|4736|5698|5699|5721|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|7314|9045|9353|23521|64221|116832|200916,DAG1|EIF4G1|RPSA|RPL10A|PSMB9|PSMB10|PSME2|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|UBB|RPL14|SLIT2|RPL13A|ROBO3|RPL39L|RPL22L1,-30.376223699872085,3.0,3,0,0,0,-85.36968308061412,12.208599486861896,0.4646212047191751,
1,0,-13.609678447196632,0.0,R-HSA-8868773,M10,1,0.43155222384843905,Reactome Gene Sets,6,rRNA processing in the nucleus and cytosol,,-23.524656399156815,5.715155450929458,14.321236616782267,28162,194,1270,50,3.937007874015748,0.5457067629984932,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|10438|23521|27043|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|C1D|RPL13A|PELP1|RPL39L|RPL22L1,-21.997500159303964,3.0,3,0,0,0,-85.36968308061412,12.208599486861896,0.4646212047191751,
1,0,-13.148886765959107,0.0,R-HSA-72312,M10,1,0.42932306148594623,Reactome Gene Sets,6,rRNA processing,,-22.460550816630548,5.435000771962328,13.815610433247013,28162,204,1270,50,3.937007874015748,0.5457067629984932,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|10438|23521|27043|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|C1D|RPL13A|PELP1|RPL39L|RPL22L1,-20.979594999025828,3.0,3,0,0,0,-85.36968308061412,12.208599486861896,0.4646212047191751,
1,0,-12.830608040304584,0.0,R-HSA-72695,M10,1,0.4276965989430226,Reactome Gene Sets,6,"Formation of the ternary complex, and subsequently, the 43S complex",,-21.177081069414015,11.304801605681643,16.006667398041355,28162,51,1270,26,2.047244094488189,0.3973665289377072,3646|3921|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|27335|51386,EIF3E|RPSA|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|EIF3K|EIF3L,-19.76928846416792,3.0,3,0,0,0,-85.36968308061412,12.208599486861896,0.4646212047191751,
