	OSCC cell	CAF	MSC	MAF	Mst	DC	EC	T.cell	Mac	B.cell	Myo	LNM
N0_1	0.94946168	0.037149904	0.000108817	0.007989718	3.09E-05	0	0.001128997	0.003654123	0	2.73E-05	0.000448571	0
N0_2	0.960906998	0.029299783	0	0.003827149	3.33E-05	0	0.004337063	0.001595662	0	0	0	0
N0_3	0.863626801	0.06571028	0	0	0	0	0.011141971	0.005286934	0.05050831	0	0.003725704	0
N0_4	0.946941285	0.037037391	0	0.000491487	0.000101282	0	0.000205884	0.004879465	0.010343207	0	0	0
N0_5	0.978963023	0.015043781	0	0	0	0	0	0.005930557	0	5.90E-05	3.60E-06	0
N0_6	0.894853252	0.073193695	0	0	0.000124186	0	0.012052932	0.011263105	0.00691142	0.001592292	9.12E-06	0
N0_7	0.925771295	0.056780965	0	0	0.00028727	0	0.010242966	0.00284094	0	0	0.004076565	0
N0_8	0.901109351	0.082305814	0	0.010980296	7.93E-05	0	0.002687551	0.001985113	0.000647314	0	0.000205245	0
N0_9	0.925863999	0.030542591	0	0	0	0.001592927	0.019349931	0.000314278	0.017650648	0	0.004685627	0
N0_10	0.981917735	0.006963411	0	0.004984012	2.57E-05	0	0.000637163	0.000481662	0	0	0.004990319	0
N0_11	0.913629351	0.077403293	0	0	5.23E-05	0	0.002220841	0.004904449	0.000675887	0.001113845	0	0
N0_12	0.927403529	0.020417772	0	0.006774509	0	0	0.005840412	0.001212385	0	0	0.038351394	0
N0_13	0.987335827	0.006878408	5.41E-05	0.001429821	0	0.000421756	0.001210488	0.001807029	0.000849666	2.82E-06	1.01E-05	0
N0_14	0.978594024	0.004050632	0	0.003000417	0.000313898	0	0	0.008657845	0.002823877	0.002559307	0	0
N0_15	0.979009027	0.015896334	0	0	1.05E-05	0	0	0.005084165	0	0	0	0
N0_16	0.72616743	0.184893871	0	0	7.84E-05	0.002204988	0.035981097	0.010395568	0.040278649	0	0	0
N0_17	0.858617255	0.040801888	9.32E-05	0	0	0	0.014071801	0.011126084	0.074512822	0.000619827	0.000157124	0
N0_18	0.909426251	0.060281417	0	0.006406451	4.65E-05	0	0.006026239	0.002621512	0.002464239	0	0.012727351	0
N0_19	0.887599855	0.035599101	0	0.00945981	0	0	0.014679623	0.004962912	0.015212372	0.000102871	0.032383456	0
N0_20	0.814342113	0.071009797	0.002542067	0	0	0.000386922	0.016689482	0	0.040181945	0	0.054847674	0
N0_21	0.96022185	0.020494112	0	0.000322074	0	0.002845295	0.003099143	0	0.013005433	1.21E-05	0	0
N0_22	0.967429643	0.018654634	0	0.005867543	7.34E-05	0	0.001433841	0.006249656	0	1.66E-06	0.000289613	0
N0_23	0.989145669	0.007122402	0	0.001289885	0.00016873	0	0	0.002002048	0	0.000271265	0	0
N0_24	0.772512206	0.086941647	0	0	0.000501214	0.000583775	0.021157306	0.015713199	0.038280577	0	0.064310075	0
N0_25	0.901476672	0.085193924	0	0.004230237	0.000172639	0	0	0.004985459	0.003901537	5.00E-06	3.45E-05	0
N0_26	0.965444366	0.025394615	0	0.000413694	0	0	0.006452757	0.002110666	0	7.32E-05	0.000110712	0
N0_27	0.892016939	0.067061561	0	0	5.57E-05	0.001232249	0.007531792	0.00338093	0.027633554	0	0.001087281	0
N0_28	0.94003732	0.039470604	0.000454052	0.001080126	0	0	0.014753729	0.004184676	0	1.95E-05	0	0
N0_29	0.826659431	0.103737888	0	0	0.000541448	0	0.011837641	0.00452719	0.030567551	0	0.022128852	0
