Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-72689,Formation of a pool of free 40S subunits,,-27,5.4,15,28162,101,2791,54,1.9,0.26,3646|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|9045|23521|27335|51386|116832|200916,EIF3E|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|RPL14|RPL13A|EIF3K|EIF3L|RPL39L|RPL22L1,-24,LN_meta
Reactome Gene Sets,6,R-HSA-156902,Peptide chain elongation,,-26,5.6,14,28162,89,2791,49,1.8,0.25,1938|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|116832|200916,EEF2|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|RPL39L|RPL22L1,-23,LN_meta
Reactome Gene Sets,6,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-26,5,14,28162,111,2791,55,2,0.26,1981|3646|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|9045|23521|27335|51386|116832|200916,EIF4G1|EIF3E|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|RPL14|RPL13A|EIF3K|EIF3L|RPL39L|RPL22L1,-23,LN_meta
Reactome Gene Sets,6,R-HSA-156842,Eukaryotic Translation Elongation,,-25,5.4,14,28162,93,2791,50,1.8,0.25,1933|1938|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|116832|200916,EEF1B2|EEF2|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|RPL39L|RPL22L1,-23,LN_meta
Reactome Gene Sets,6,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-25,5,14,28162,112,2791,55,2,0.26,1981|3646|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|9045|23521|27335|51386|116832|200916,EIF4G1|EIF3E|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|RPL14|RPL13A|EIF3K|EIF3L|RPL39L|RPL22L1,-23,LN_meta
Reactome Gene Sets,6,R-HSA-9675108,Nervous system development,,-25,2.5,12,28162,577,2791,144,5.2,0.42,25|27|160|214|286|287|388|775|776|785|1211|1281|1282|1284|1285|1291|1292|1293|1400|1605|1630|1742|1759|1809|1956|1981|2042|2045|2048|2064|2260|2549|2596|2674|2817|2886|3066|3908|3921|4440|4629|4684|4736|5217|5335|5362|5365|5376|5599|5909|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|6300|6324|6329|6330|6332|6335|6383|6387|6586|6711|6712|6714|7003|7204|7220|7223|7280|7436|7846|8218|8515|8829|8912|8976|8997|9045|9353|9723|9826|9846|10298|10381|10382|10413|23114|23129|23521|25791|25937|51107|56963|57522|57698|57716|64221|79784|80031|116832|200916|285704|347733|100133941,ABL1|ABL2|AP2A1|ALCAM|ANK1|ANK2|RHOB|CACNA1C|CACNA1D|CACNB4|CLTA|COL3A1|COL4A1|COL4A2|COL4A3|COL6A1|COL6A2|COL6A3|CRMP1|DAG1|DCC|DLG4|DNM1|DPYSL3|EGFR|EIF4G1|EPHA3|EPHA7|EPHB2|ERBB2|FGFR1|GAB1|GAP43|GFRA1|GPC1|GRB7|HDAC2|LAMA2|RPSA|MSI1|MYH11|NCAM1|RPL10A|PFN2|PLCG1|PLXNA2|PLXNB3|PMP22|MAPK8|RAP1GAP|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|MAPK12|SCN1B|SCN4A|SCN4B|SCN7A|SCN9A|SDC2|CXCL12|SLIT3|SPTBN1|SPTBN2|SRC|TEAD1|TRIO|TRPC1|TRPC4|TUBB2A|VLDLR|TUBA1A|CLTCL1|ITGA10|NRP1|CACNA1H|WASL|KALRN|RPL14|SLIT2|SEMA3E|ARHGEF11|GAB2|PAK4|TUBB3|TUBB4A|YAP1|NFASC|PLXND1|RPL13A|NGEF|WWTR1|APH1A|RGMA|SRGAP1|SHTN1|PRX|ROBO3|MYH14|SEMA6D|RPL39L|RPL22L1|RGMB|TUBB2B|CD24,-23,LN_meta
Reactome Gene Sets,6,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,,-25,5.2,14,28162,101,2791,52,1.9,0.26,467|468|1051|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|57761|116832|200916,ATF3|ATF4|CEBPB|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|TRIB3|RPL39L|RPL22L1,-23,LN_meta
Reactome Gene Sets,6,R-HSA-192823,Viral mRNA Translation,,-25,5.4,14,28162,89,2791,48,1.7,0.25,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|RPL39L|RPL22L1,-22,LN_meta
Reactome Gene Sets,6,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-24,5.2,14,28162,95,2791,49,1.8,0.25,1981|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|116832|200916,EIF4G1|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|RPL39L|RPL22L1,-21,LN_meta
Reactome Gene Sets,6,R-HSA-422475,Axon guidance,,-24,2.5,12,28162,552,2791,137,4.9,0.41,25|27|160|214|286|287|388|775|776|785|1211|1281|1282|1284|1285|1291|1292|1293|1400|1605|1630|1742|1759|1809|1956|1981|2042|2045|2048|2064|2260|2549|2596|2674|2817|2886|3921|4440|4629|4684|4736|5217|5335|5362|5365|5599|5909|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|6300|6324|6329|6330|6332|6335|6383|6387|6586|6711|6712|6714|7204|7220|7223|7280|7436|7846|8218|8515|8829|8912|8976|8997|9045|9353|9723|9826|9846|10298|10381|10382|23114|23129|23521|25791|51107|56963|57522|57698|64221|79784|80031|116832|200916|285704|347733|100133941,ABL1|ABL2|AP2A1|ALCAM|ANK1|ANK2|RHOB|CACNA1C|CACNA1D|CACNB4|CLTA|COL3A1|COL4A1|COL4A2|COL4A3|COL6A1|COL6A2|COL6A3|CRMP1|DAG1|DCC|DLG4|DNM1|DPYSL3|EGFR|EIF4G1|EPHA3|EPHA7|EPHB2|ERBB2|FGFR1|GAB1|GAP43|GFRA1|GPC1|GRB7|RPSA|MSI1|MYH11|NCAM1|RPL10A|PFN2|PLCG1|PLXNA2|PLXNB3|MAPK8|RAP1GAP|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|MAPK12|SCN1B|SCN4A|SCN4B|SCN7A|SCN9A|SDC2|CXCL12|SLIT3|SPTBN1|SPTBN2|SRC|TRIO|TRPC1|TRPC4|TUBB2A|VLDLR|TUBA1A|CLTCL1|ITGA10|NRP1|CACNA1H|WASL|KALRN|RPL14|SLIT2|SEMA3E|ARHGEF11|GAB2|PAK4|TUBB3|TUBB4A|NFASC|PLXND1|RPL13A|NGEF|APH1A|RGMA|SRGAP1|SHTN1|ROBO3|MYH14|SEMA6D|RPL39L|RPL22L1|RGMB|TUBB2B|CD24,-21,LN_meta
