_MEMBER_LN_meta,_MEMBER_N0,_LogP_LN_meta,_LogP_N0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,-7.9,-4.7,hsa04510,Focal adhesion ,M11,2,0.12
1,1,-4.4,-4.3,ko04015,Rap1 signaling pathway,M11,2,0.0026
1,1,-2.9,-2.6,R-HSA-8980692,RHOA GTPase cycle,M11,2,0.03
1,1,-2.5,-3.7,R-HSA-73887,Death Receptor Signalling,M11,2,0.092
1,1,-5.6,-12,R-HSA-194315,Signaling by Rho GTPases,M11,2,0.19
1,1,-3.2,-2.5,hsa05140,Leishmania infection ,M11,2,0.06
1,1,-7.4,-3.4,ko04151,PI3K-Akt signaling pathway,M11,2,0.19
1,1,-5.4,-4.3,hsa04380,Osteoclast differentiation,M11,2,0.058
1,1,-4.8,-5.9,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M11,2,0.049
1,1,-3.4,-3.6,ko05146,Amoebiasis,M11,2,0.013
1,1,-5.1,-4.6,ko05205,Proteoglycans in cancer,M11,2,0.027
1,1,-3.1,-3.1,hsa05146,Amoebiasis,M11,2,0.0041
1,1,-3.1,-5.7,hsa05130,Pathogenic Escherichia coli infection ,M11,2,0.14
1,1,-2.3,-2.2,hsa05133,Pertussis,M11,2,0.009
1,1,-6.6,-15,R-HSA-109582,Hemostasis,M11,2,0.19
1,1,-5.2,-5,hsa04666,Fc gamma R-mediated phagocytosis ,M11,2,0.0091
1,1,-2.6,-8.4,R-HSA-9658195,Leishmania infection,M11,2,0.26
1,1,-9.5,-5.2,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M11,2,0.15
1,1,-3.9,-2.1,hsa05152,Tuberculosis,M11,2,0.14
1,1,-5.5,-2.8,R-HSA-425407,SLC-mediated transmembrane transport,M11,2,0.16
1,1,-5.4,-11,hsa04514,Cell adhesion molecules (CAMs) ,M11,2,0.18
1,1,-2.2,-2.2,R-HSA-157118,Signaling by NOTCH,M11,2,0.0072
1,1,-9.8,-2.7,ko04530,Tight junction,M11,2,0.28
1,1,-4.2,-4.2,hsa04015,Rap1 signaling pathway,M11,2,0.003
1,1,-2.4,-7.3,hsa05142,Chagas disease (American trypanosomiasis),M11,2,0.25
1,1,-2,-2.4,hsa04024,cAMP signaling pathway,M11,2,0.037
1,1,-8.6,-8.6,R-HSA-6798695,Neutrophil degranulation,M11,2,0.002
1,1,-2.4,-5.5,ko04670,Leukocyte transendothelial migration,M11,2,0.2
1,1,-3.1,-5.7,ko05130,Pathogenic Escherichia coli infection,M11,2,0.14
1,1,-6.2,-4.1,hsa05205,Proteoglycans in cancer,M11,2,0.1
1,1,-4.2,-2.1,ko05152,Tuberculosis,M11,2,0.16
1,1,-2.3,-8.7,R-HSA-9664407,Parasite infection,M11,2,0.29
1,1,-5,-7.3,R-HSA-5653656,Vesicle-mediated transport,M11,2,0.093
1,1,-3.6,-4.4,R-HSA-199418,Negative regulation of the PI3K/AKT network,M11,2,0.05
1,1,-4.4,-2.6,hsa04390,Hippo signaling pathway,M11,2,0.13
1,1,-5.6,-2.8,hsa04145,Phagosome,M11,2,0.17
1,1,-5.4,-11,ko04514,Cell adhesion molecules (CAMs),M11,2,0.18
1,1,-5.6,-3.2,R-HSA-1500931,Cell-Cell communication,M11,2,0.14
1,1,-2.2,-6.6,hsa04640,Hematopoietic cell lineage ,M11,2,0.25
1,1,-2.2,-4.9,hsa05144,Malaria,M11,2,0.19
1,1,-2.3,-7.8,hsa05166,HTLV-I infection,M11,2,0.27
1,1,-2,-2.4,R-HSA-182971,EGFR downregulation,M11,2,0.044
1,1,-9.8,-2.7,hsa04530,Tight junction ,M11,2,0.28
1,1,-7.9,-4.7,ko04510,Focal adhesion,M11,2,0.12
