_MEMBER_LN_meta,_MEMBER_N0,_LogP_LN_meta,_LogP_N0,GO,Description,_PATTERN_,_RANK_,CHILD_GO_LN_meta,CHILD_GO_N0
1,1,-4.124706963698601,-5.711063383195174,GO:0032501,multicellular organismal process,M11,2,GO:0044057 regulation of system process,GO:0007586 digestion
1,1,-3.7709236300621938,-3.0788215501751046,GO:0065007,biological regulation,M11,2,GO:0043462 regulation of ATP-dependent activity,GO:0060249 anatomical structure homeostasis
1,1,-3.620622015578533,-2.9475169526661373,GO:0032502,developmental process,M11,2,GO:0032989 cellular component morphogenesis,GO:0001708 cell fate specification
1,1,-3.339221706086581,-3.5413819608424695,GO:0008152,metabolic process,M11,2,GO:0015980 energy derivation by oxidation of organic compounds,GO:0034587 piRNA metabolic process
1,1,-3.2022233385077077,-2.731652464889639,GO:0050896,response to stimulus,M11,2,GO:0016048 detection of temperature stimulus,GO:1990090 cellular response to nerve growth factor stimulus
1,1,-2.8610936518730514,-2.4414028820940996,GO:0009987,cellular process,M11,2,GO:0045109 intermediate filament organization,GO:0051260 protein homooligomerization
1,0,-2.5812889127691165,0.0,GO:0048518,positive regulation of biological process,M10,1,GO:0045923 positive regulation of fatty acid metabolic process,
1,0,-2.3766083448224973,0.0,GO:0040011,locomotion,M10,1,GO:0050919 negative chemotaxis,
1,1,-2.1374384742974653,-2.5852766166976546,GO:0023052,signaling,M11,2,GO:0048168 regulation of neuronal synaptic plasticity,GO:0050804 modulation of chemical synaptic transmission
1,0,-2.096302520022668,0.0,GO:0022414,reproductive process,M10,1,GO:0022412 cellular process involved in reproduction in multicellular organism,
1,0,-2.0408664841265898,0.0,GO:0040007,growth,M10,1,GO:0048638 regulation of developmental growth,
1,1,-2.035196106035386,-4.498150500595708,GO:0051179,localization,M11,2,GO:0030301 cholesterol transport,GO:0006835 dicarboxylic acid transport
0,1,0.0,-2.2905959569267975,GO:0002376,immune system process,M01,1,,GO:0006959 humoral immune response
