Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
LN_meta,Reactome Gene Sets,6,R-HSA-397014,Muscle contraction,,-7.1,15,10,30211,197,84,8,9.5,3.2,72|487|4624|4626|4629|4634|4635|58498,ACTG2|ATP2A1|MYH6|MYH8|MYH11|MYL3|MYL4|MYL7,-4.3
LN_meta,GO Biological Processes,19,GO:0044057,regulation of system process,19_GO:0032501 multicellular organismal process,-6.3,6.9,7.5,30211,573,84,11,13,3.7,335|337|487|2017|2693|3814|4624|4634|4635|219537|387129,APOA1|APOA4|ATP2A1|CTTN|GHSR|KISS1|MYH6|MYL3|MYL4|SMTNL1|NPSR1,-3.8
LN_meta,GO Biological Processes,19,GO:0003012,muscle system process,19_GO:0032501 multicellular organismal process,-5.9,10,8.2,30211,281,84,8,9.5,3.2,487|4624|4626|4629|4634|4635|9127|219931,ATP2A1|MYH6|MYH8|MYH11|MYL3|MYL4|P2RX6|TPCN2,-3.6
LN_meta,GO Biological Processes,19,GO:0043462,regulation of ATP-dependent activity,19_GO:0065007 biological regulation,-5.7,25,11,30211,73,84,5,6,2.6,229|487|4624|4634|4635,ALDOB|ATP2A1|MYH6|MYL3|MYL4,-3.4
LN_meta,Reactome Gene Sets,6,R-HSA-390522,Striated Muscle Contraction,,-5.5,40,12,30211,36,84,4,4.8,2.3,4624|4626|4634|4635,MYH6|MYH8|MYL3|MYL4,-3.2
LN_meta,GO Biological Processes,19,GO:0006936,muscle contraction,19_GO:0032501 multicellular organismal process,-5.5,11,8.1,30211,227,84,7,8.3,3,4624|4626|4629|4634|4635|9127|219931,MYH6|MYH8|MYH11|MYL3|MYL4|P2RX6|TPCN2,-3.2
LN_meta,WikiPathways,27,WP383,Striated muscle contraction pathway,,-5.4,38,12,30211,38,84,4,4.8,2.3,4624|4626|4634|4635,MYH6|MYH8|MYL3|MYL4,-3.2
LN_meta,KEGG Pathway,24,hsa04020,Calcium signaling pathway,,-5.3,10,7.8,30211,240,84,7,8.3,3,487|2248|5260|9127|91807|163688|219931,ATP2A1|FGF3|PHKG1|P2RX6|MYLK3|CALML6|TPCN2,-3.1
LN_meta,Reactome Gene Sets,6,R-HSA-2168880,Scavenging of heme from plasma,,-5.2,83,16,30211,13,84,3,3.6,2,213|335|3250,ALB|APOA1|HPR,-3
LN_meta,GO Biological Processes,19,GO:0032781,positive regulation of ATP-dependent activity,19_GO:0065007 biological regulation,-5.1,32,11,30211,45,84,4,4.8,2.3,229|487|4634|4635,ALDOB|ATP2A1|MYL3|MYL4,-2.9
LN_meta,GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-4.9,7.4,6.7,30211,388,84,8,9.5,3.2,158|229|2027|2819|4715|4726|5260|5837,ADSL|ALDOB|ENO3|GPD1|NDUFB9|NDUFS6|PHKG1|PYGM,-2.8
LN_meta,GO Biological Processes,19,GO:0046034,ATP metabolic process,19_GO:0008152 metabolic process,-4.7,11,7.4,30211,195,84,6,7.1,2.8,229|2027|4624|4626|4715|4726,ALDOB|ENO3|MYH6|MYH8|NDUFB9|NDUFS6,-2.6
LN_meta,GO Biological Processes,19,GO:0002026,regulation of the force of heart contraction,19_GO:0032501 multicellular organismal process,-4.3,41,11,30211,26,84,3,3.6,2,4624|4634|4635,MYH6|MYL3|MYL4,-2.3
LN_meta,GO Biological Processes,19,GO:0015980,energy derivation by oxidation of organic compounds,19_GO:0008152 metabolic process,-4.2,8.9,6.5,30211,243,84,6,7.1,2.8,158|2819|4715|4726|5260|5837,ADSL|GPD1|NDUFB9|NDUFS6|PHKG1|PYGM,-2.2
LN_meta,KEGG Pathway,24,hsa04261,Adrenergic signaling in cardiomyocytes,,-4.2,12,7.1,30211,150,84,5,6,2.6,487|4624|4634|4635|163688,ATP2A1|MYH6|MYL3|MYL4|CALML6,-2.2
