Cluster,Score,Type,Gene,Symbol,Network
1,3.0,Clustered,4634,MYL3,_FINAL_SUB1
1,3.0,Seed,58498,MYL7,_FINAL_SUB1
1,3.0,Clustered,4629,MYH11,_FINAL_SUB1
1,3.0,Clustered,4626,MYH8,_FINAL_SUB1
1,3.0,Clustered,72,ACTG2,_FINAL_SUB1
1,3.0,Clustered,4635,MYL4,_FINAL_SUB1
1,3.0,Clustered,4624,MYH6,_FINAL_SUB1
2,1.25,Seed,157310,PEBP4,_FINAL_SUB1
2,1.25,Clustered,65003,MRPL11,_FINAL_SUB1
2,1.25,Clustered,219537,SMTNL1,_FINAL_SUB1
2,1.25,Clustered,6132,RPL8,_FINAL_SUB1
3,1.0,Clustered,796,CALCA,_FINAL_SUB1
3,1.0,Clustered,2691,GHRH,_FINAL_SUB1
3,1.0,Seed,7253,TSHR,_FINAL_SUB1
