GO,Description,_LogP_LN_meta,_LogP_N0
GO:0005977,glycogen metabolic process,-2.3244110223978702,0.0
GO:0045109,intermediate filament organization,-2.8610936518730514,0.0
GO:0014823,response to activity,-2.90939835686906,0.0
GO:0140448,signaling receptor ligand precursor processing,-2.6472760301379052,0.0
GO:0005975,carbohydrate metabolic process,-2.8157228518494737,0.0
hsa04020,Calcium signaling pathway,-2.7841025544860334,0.0
GO:0007218,neuropeptide signaling pathway,-2.123656493361251,0.0
GO:0006091,generation of precursor metabolites and energy,-3.2803921585410074,0.0
GO:0016048,detection of temperature stimulus,-3.2022233385077077,0.0
GO:0032989,cellular component morphogenesis,-3.620622015578533,0.0
R-HSA-397014,Muscle contraction,-4.924755497718451,0.0
R-HSA-2168880,Scavenging of heme from plasma,-4.027206711098927,0.0
GO:0007610,behavior,-2.1117864805242963,-2.395242531912227
GO:0006835,dicarboxylic acid transport,0.0,-4.498150500595708
GO:0022600,digestive system process,0.0,-5.545612368392507
GO:0034587,piRNA metabolic process,0.0,-3.5413819608424695
R-HSA-382551,Transport of small molecules,0.0,-3.7587648018939044
hsa05217,Basal cell carcinoma,0.0,-2.3154652439921266
R-HSA-3781865,Diseases of glycosylation,0.0,-2.958977858749075
GO:0055074,calcium ion homeostasis,0.0,-2.256777964342758
