GO,Description,_LogP_LN_meta,_LogP_N0
GO:0050896,response to stimulus,-3.202763673012652,-2.7321822389165247
GO:0032502,developmental process,-3.086338529580558,-2.948202195913243
GO:0023052,signaling,-2.2750895148013774,-2.6295716454178
GO:0009987,cellular process,-2.035701138996319,-2.471922666813236
GO:0008152,metabolic process,-3.456654993126246,-3.598198833469553
GO:0065007,biological regulation,-3.7717856170046056,-3.0618293421516474
GO:0051179,localization,-2.0553762566481026,-4.499034719353925
GO:0007610,behavior,-2.159010246003975,-4.086175649871679
GO:0032501,multicellular organismal process,-4.20633163321049,-5.7397130563731915
GO:0002376,immune system process,0.0,-2.2986364522184153
GO:0040011,locomotion,-2.3771275754742947,0.0
GO:0048518,positive regulation of biological process,-2.5818148225578197,0.0
GO:0040007,growth,-2.0418236228471103,0.0
