,cell_types,Sample_ID,condition
HNSCC22_P5_F06_S258_comb,CRC,oscc22,N0_pri
HNSCC22_P5_C09_S225_comb,CRC,oscc22,N0_pri
HNSCC22_P5_C04_S220_comb,CRC,oscc22,N0_pri
HNSCC22_P5_A04_S196_comb,CRC,oscc22,N0_pri
HNSCC22_P5_A12_S204_comb,CRC,oscc22,N0_pri
HNSCC22_P5_D06_S234_comb,CRC,oscc22,N0_pri
HNSCC22_P5_D12_S240_comb,CRC,oscc22,N0_pri
HNSCC22_P5_A08_S200_comb,CRC,oscc22,N0_pri
HNSCC22_P5_H11_S287_comb,CRC,oscc22,N0_pri
HNSCC22_P5_C05_S221_comb,CRC,oscc22,N0_pri
HNSCC22_P5_A07_S199_comb,CRC,oscc22,N0_pri
HNSCC22_P5_B02_S206_comb,CRC,oscc22,N0_pri
HNSCC22_P5_A05_S197_comb,CRC,oscc22,N0_pri
HNSCC22_P5_G02_S266_comb,CRC,oscc22,N0_pri
HNSCC22_P5_C01_S217_comb,CRC,oscc22,N0_pri
HNSCC22_P5_G03_S267_comb,CRC,oscc22,N0_pri
HNSCC22_P5_D05_S233_comb,CRC,oscc22,N0_pri
HNSCC22_P5_F09_S261_comb,CRC,oscc22,N0_pri
HNSCC22_P5_H06_S282_comb,CRC,oscc22,N0_pri
HNSCC22_P5_B03_S207_comb,CRC,oscc22,N0_pri
HNSCC22_P5_D09_S237_comb,CRC,oscc22,N0_pri
HNSCC22_P5_F12_S264_comb,CRC,oscc22,N0_pri
HNSCC22_P5_H03_S279_comb,CRC,oscc22,N0_pri
HNSCC22_P5_B05_S209_comb,CRC,oscc22,N0_pri
HNSCC22_P5_A10_S202_comb,CRC,oscc22,N0_pri
HNSCC22_P5_A06_S198_comb,CRC,oscc22,N0_pri
HNSCC22_P5_C06_S222_comb,CRC,oscc22,N0_pri
HNSCC22_P5_G07_S271_comb,CRC,oscc22,N0_pri
HNSCC22_P5_C12_S228_comb,CRC,oscc22,N0_pri
HNSCC22_P5_E10_S250_comb,CRC,oscc22,N0_pri
HNSCC22_P5_E06_S246_comb,CRC,oscc22,N0_pri
HNSCC22_P5_E04_S244_comb,CRC,oscc22,N0_pri
HNSCC22_P5_B07_S211_comb,CRC,oscc22,N0_pri
HNSCC22_P5_G08_S272_comb,CRC,oscc22,N0_pri
HNSCC22_P5_E07_S247_comb,CRC,oscc22,N0_pri
HNSCC22_P5_D01_S229_comb,CRC,oscc22,N0_pri
HNSCC22_P5_A01_S193_comb,CRC,oscc22,N0_pri
HNSCC22_P5_G04_S268_comb,CRC,oscc22,N0_pri
HNSCC22_P5_D08_S236_comb,CRC,oscc22,N0_pri
HNSCC22_P5_F02_S254_comb,CRC,oscc22,N0_pri
HNSCC22_P5_H01_S277_comb,CRC,oscc22,N0_pri
HNSCC22_P5_F11_S263_comb,CRC,oscc22,N0_pri
HNSCC22_P5_D02_S230_comb,CRC,oscc22,N0_pri
HNSCC22_P5_C10_S226_comb,CRC,oscc22,N0_pri
