	score	is_training	sparsity_sp	sparsity_sc	sparsity_diff
tcap	0.99105525	True	0.0793489318413021	0.9914029632339492	-0.9120540313926471
col1a1	0.9892366	True	0.0	0.592463874154015	-0.592463874154015
col1a2	0.98627937	True	0.0	0.7495884397292848	-0.7495884397292848
col3a1	0.9854397	True	0.0	0.772635814889336	-0.772635814889336
actn1	0.9854012	False	0.0010172939979654627	0.4375342966892263	-0.4365170026912608
sparc	0.98445743	True	0.0	0.6208158039143954	-0.6208158039143954
s100a10	0.98425174	True	0.0010172939979654627	0.365099689043351	-0.36408239504538553
ctsb	0.98411566	True	0.003051881993896277	0.031278580574355175	-0.028226698580458898
lgals1	0.98395014	True	0.0	0.39070788366563014	-0.39070788366563014
krt14	0.9834288	True	0.0	0.5220413389427474	-0.5220413389427474
psap	0.9832934	True	0.004069175991861629	0.14377172123650994	-0.1397025452446483
s100a11	0.98288226	True	0.003051881993896277	0.24089994512529722	-0.23784806313140094
krt5	0.9822405	True	0.0	0.5522224254618621	-0.5522224254618621
fn1	0.9821897	True	0.0	0.6848362904700933	-0.6848362904700933
actc1	0.9821377	True	0.3194303153611394	0.9577464788732395	-0.6383161635121001
igfbp7	0.9819976	True	0.006103763987792443	0.566489848179989	-0.5603860841921966
s100a1	0.98059565	True	0.7202441505595116	0.9914029632339492	-0.27115881267443753
fstl1	0.97947276	True	0.01322482197355035	0.5915492957746479	-0.5783244738010975
bgn	0.97946614	True	0.0020345879959308144	0.678617157490397	-0.6765825694944662
c1r	0.979172	True	0.00915564598168872	0.45052130967623927	-0.44136566369455055
myh9	0.97864985	False	0.0010172939979654627	0.1787086153283336	-0.17769132133036813
tgm2	0.9781942	True	0.019328585961342792	0.8593378452533382	-0.8400092592919954
vim	0.9780347	True	0.004069175991861629	0.4174135723431498	-0.41334439635128817
s100a6	0.9777367	False	0.0010172939979654627	0.14560087799524424	-0.14458358399727878
tgfbi	0.97773546	False	0.003051881993896277	0.5308212913846717	-0.5277694093907754
itgb4	0.9774275	True	0.014242115971515812	0.6323394914944211	-0.6180973755229053
c1qb	0.97704065	True	0.0264496439471007	0.980062191329797	-0.9536125473826963
thbs1	0.9764135	True	0.011190233977619535	0.646606914212548	-0.6354166802349285
col6a2	0.9762628	True	0.012207527975584997	0.7199561002377903	-0.7077485722622053
prss23	0.97572136	True	0.011190233977619535	0.7128223888787268	-0.7016321549011073
col5a1	0.97522736	True	0.016276703967446626	0.7695262483994878	-0.7532495444320412
actb	0.97497094	True	0.0	0.002012072434607659	-0.002012072434607659
c1qc	0.9749572	True	0.015259409969481164	0.980062191329797	-0.9648027813603158
col4a1	0.97481096	True	0.00915564598168872	0.652643131516371	-0.6434874855346823
ckm	0.9747971	True	0.328585961342828	0.9859154929577465	-0.6573295316149185
actn2	0.9744951	True	0.5584944048830112	0.9837205048472654	-0.4252260999642542
lamb3	0.9741471	True	0.008138351983723258	0.6403877812328517	-0.6322494292491284
