	B cell	CAF	CRC	DC	EC	MAF	MSC	Mac	Mst	Myo	T cell
0	SSR4	SERPING1	KRT5	LAMP3	PECAM1	TAGLN	NNMT	HLA-DRA	TPSB2	NEB	PTPRC
1	MZB1	DCN	KRT17	CCR7	S1PR1	TNS1	CHRNA1	HLA-DRB1	TPSAB1	ACTC1	TMSB4X
2	DERL3	C1R	FXYD3	BIRC3	HYAL2	MYL9	RASD1	HLA-DQB1	CPA3	DES	ARHGDIB
3	FKBP11	C1S	PERP	LY75	CDH5	ADAMTS1	CD63	CD74	TPSD1	FLNC	STK17B
4	HERPUD1	COL1A2	DSP	CD74	ENG	CALD1	MEG3	HLA-DPA1	KIT	H19	B2M
5	SEC11C	COL1A1	GSTP1	LSP1	VWF	ACTA2	MT1X	HLA-DRB5	MS4A2	PDE4DIP	SRGN
6	IGLL5	COL3A1	MIR205HG	CD83	PTPRB	A2M	MUSK	HLA-DPB1	HDC	TTN	CCL5
7	FAM46C	CNN3	SFN	RASSF4	RAMP2	C4A	SERPINF1	FCER1G	SLC18A2	COX6A2	CXCR4
8	FKBP2	AEBP1	SPINT2	CSF2RA	PLVAP	SPARCL1	LAMA2	IFI30	VWA5A	MYL1	CD3G
9	PIM2	CALD1	TP63	FLT3	GNG11	IGFBP7	SGCA	HLA-DRB6	HPGDS	TNNT3	IKZF3
10	XBP1	COL6A2	TACSTD2	POGLUT1	CLEC14A	DSTN	MYF5	CYBB	FCER1G	ACTA1	CD2
11	ELK2AP	COL6A3	JUP	LCP1	CRIP2	TPM2	PAX7	HLA-DMA	IL1RL1	TRDN	HLA-E
12	PRDX4	LUM	SDC1	CLIC2	MYCT1	EBF1	IGFBP5	HLA-DQA1	GATA2	MYBPC1	MALAT1
13	SLAMF7	FSTL1	PKP1	RGS1	AQP1	BGN	RPL3	AIF1	LAPTM5	KLHL41	SPN
14	CD79A	COL6A1	IFI27	GPR183	RAMP3	VIM	FOS	TYROBP	CAPG	HSPB7	HYDIN2
15	ISG20	FN1	KRT19	ID2	FKBP1A	MYH11	DES	LYZ	ALOX5AP	CORO6	MEFV
16	C19orf10	ISLR	KRT6A	DAPP1	ECSCR	PDGFRB	FOSB	MS4A6A	CLU	LOC653513	RGS1
17	ST6GAL1	AXL	DSG3	RNF144B	ADCY4	LMOD1	APOC1	FGD2	CTSG	CACNB1	ZNF793
18	TP53INP1	LGALS1	KRT14	SAMSN1	CXorf36	ADIRF	EEF1A1	HLA-DMB	PTGS1	HSPB8	CD96
19	ANKRD28	TIMP1	SLC2A1	FAM49A	RNASE1	MCAM	LRP1	CD68	SRGN	TPM2	ZC3H12D
20	IGJ	SPARC	SERPINB5	TRAF1	CD59	C1QTNF1	PON2	CTSS	LTC4S	CSRP3	TSC22D3
21	SELK	CRISPLD2	DDR1	FSCN1	INSR	MFGE8	VIM	ITGB2	ALOX5	MB	HNRNPH1
22	SPCS2	CTGF	TRIM29	ERICH1	EGFL7	C4B_2	CHRDL2	IGSF6	CD69	SLN	TNFAIP3
23	SDF2L1	RARRES2	PTPRF	CTSH	ELTD1	C4B	ZBTB20	FCGR2A	HPGD	TNNI2	CD3E
24	PRDM1	SERPINF1	GRHL2	CD86	CALCRL	MTRNR2L2	NPTX2	HCK	RGS2	MYOT	RNF125
25	TXNDC5	NNMT	DSC3	FNBP1	CFI	LHFP	EGR1	SERPINA1	RGS1	ALDOA	IL2RG
26	FCRL5	EGR1	CALML3	STK4	ESAM	MTRNR2L8	SPARCL1	MS4A7	PLIN2	BIN1	ZNF850
27	MEI1	EBF1	CDH1	CCL22	ARHGAP29	AXL	COL6A1	LST1	MAOB	COX7A1	IL32
28	DNAJB9	SELM	CDH3	IL15	SLCO2A1	MTRNR2L1	CD82	LAPTM5	C1orf186	FHL1	LCP1
29	ELL2	CTSK	KRT18	HLA-DRB6	CD93	SYNPO2	C1R	CSF1R	SAMSN1	USP2	ATCAY
30	HSP90B1	MXRA8	F11R	ZFAND5	CD34	PLN	SERPINA3	CTSH	RAC2	NNMT	BTG1
31	CYTIP	BGN	IRF6	TMSB10	LOC100505495	PARM1	MEST	HLA-DQB2	LCP2	SLC25A4	RAMP2-AS1
32	CREB3L2	CD63	LAMB3	RASSF2	CLDN5	TPM1	RPL10	RNASE6	ARHGDIB	TNNI1	TNFRSF9
33	C16orf54	PDGFRB	S100A16	HLA-DRB1	SPTBN1	CRISPLD2	SOD2	MNDA	ITGAX	SMPX	C21orf62
34	TSC22D3	CYR61	CLCA2	RAB8B	IGFBP7	EPAS1	MT2A	CLEC7A	AREG	CRYAB	CRX
35	PPAPDC1B	PCOLCE	DSC2	KIF2A	PODXL	MTRNR2L5	DLK1	PLEK	ARHGAP18	TCAP	CD3D
36	SEL1L	MYL9	ESRG	ST3GAL6	TM4SF1	MUSTN1	H19	CD86	TESPA1	CKM	PRICKLE2-AS3
37	SEL1L3	PRRX1	ANXA2	CD84	PRCP	LBH	TPT1	CD14	CD82	ACTN2	MYLK3
38	TPD52	PMP22	SOX15	HLA-DRA	CYYR1	JUNB	MXRA8	PLAUR	TYROBP	TNNC2	GDPD1
39	CYBA	LAPTM4A	S100A11	KLF6	NFIB	MYLK	ZFP36	CPVL	SLC2A3	GAPDH	FYN
40	ITM2C	IGFBP4	LAD1	GRSF1	RHOJ	MTRNR2L10	RPL10A	ITGAX	ARHGEF6	PDLIM3	LAPTM5
41	SPCS3	IFITM3	KRT6C	ADRBK2	ERG	MTRNR2L6	TFPI	C1orf162	DUSP10	CMYA5	CHST6
42	SIK1	LHFP	S100A2	FGD2	NPDC1	CDH6	CRISPLD2	GPX1	ANXA1	NEXN	LCK
43	VIMP	THBS1	HMGA1	ACTB	ITGA5	NR4A1	RPL13	ARHGAP18	GLUL	SYNPO2	CD84
44	BLNK	THBS2	ITGB8	ARHGAP10	TCF4	CSRP2	CST3	CD53	LCP1	CYB5R1	OR7D2
45	RABAC1	CCDC80	ITGB4	SLC41A2	WWTR1	NOTCH3	CNN3	PTPN6	ADCYAP1	CSDA	TLCD2
46	NUCB2	MMP2	CXADR	SRGN	CD74	GADD45B	RBMS3	IRF8	RGS13	MYLPF	PDE6A
47	ANKRD36BP2	SULF1	PKP3	TNFAIP2	HSPG2	AOC3	RPL17	CAPG	CTNNBL1	MYOZ1	P2RX5-TAX1BP3
48	POU2AF1	LAMA4	WDR66	TBC1D4	TIE1	TIMP3	RPS9	UCP2	CD63	MYF6	LOC284950
49	RAB30	COL5A2	KLF5	MARCKSL1	JAM2	FLNA	GPM6B	TBXAS1	LAT2	CA3	GPR82
50	RPL36AL	TCF4	SLC7A8	PELI1	A2M	MTRNR2L3	PMP22	GRN	FOXP1	SGCA	JAK3
51	RGS1	MGP	RBP1	PLEK	COL15A1	MTRNR2L4	NFIC	FERMT3	SIGLEC17P	RAMP1	ARGFX
52	RPN2	IFITM2	TFAP2C	LIMCH1	GIMAP4	ADAMTS4	RPS3A	MFSD1	CD44	IP6K3	ZBTB8A
53	CECR1	MFAP4	CHRM3	HLA-DPB1	LDB2	ZBTB16	ZFAND5	HCLS1	NFKBIA	ADCK3	FAM227A
54	THEMIS2	IGFBP7	STON2	IRF4	EMCN	COL14A1	RPS12	LCP1	ACSL4	MUSTN1	SLC4A8
55	CD38	OLFML3	ITGA6	HLA-DPA1	GIMAP7	CDKN1A	BTG2	SAT1	NFKBIZ	DDIT4L	SERPINB9
56	CTSS	VIM	KRT8	CDKN1A	DOCK9	TPT1	EEF2	CD4	AKAP13	TPT1	CABP4
57	PECAM1	DPYSL2	LYPD3	HLA-DRB5	CRIM1	LPP	SNED1	CSF2RA	GALC	ENO3	NLRP12
58	PIK3CG	TWIST1	DHCR24	VOPP1	CNN3	PTP4A3	IER3	PSAP	NSMCE1	RBM24	NMNAT1
59	TRAM1	A2M	CD9	TBC1D8	GPR116	FHL5	CTGF	PILRA	BTK	RYR1	GNE
60	TAGAP	PDGFRA	CSTB	MALAT1	AKAP2	HEYL	SERPING1	TNFSF13	CPM	MURC	FYB
61	NCF1	FOS	CBR1	CFLAR	VAMP5	RPL10	DOCK9	CD83	CTSD	LMO7	ORAI2
62	INSR	PRELP	BCL11A	PMAIP1	IFITM2	ITGA7	RARRES2	CXCL16	TNFAIP3	PRUNE2	PDDC1
63	LMAN1	IGFBP5	TPI1	TXN	PLXND1	CRIP2	CADM2	NCF2	BIRC3	SERPINF1	LOC90834
64	TMEM59	TIMP2	FSCN1	SYNGR2	ELK3	EEF1A1	ELL2	MRC1	TMEM176B	AK1	PDE4C
65	HSPA5	RCN3	NME1	ANKRD10	LIMS2	EGR1	RPL41	ALOX5	SYTL3	CHRNB1	IL17RD
66	SPAG4	VCAN	ESRP1	HLA-DQB1	HLA-DRB5	SOD3	TPCN1	LILRB2	SIGLEC6	DMPK	BCL2L15
