	score	is_training	sparsity_sp	sparsity_sc	sparsity_diff
psap	0.9747836	True	0.005244755244755206	0.14377172123650994	-0.13852696599175474
s100a10	0.9731376	True	0.006993006993006978	0.365099689043351	-0.358106682050344
s100a11	0.9716947	True	0.012237762237762184	0.24089994512529722	-0.22866218288753504
ctsb	0.9712706	True	0.0174825174825175	0.031278580574355175	-0.013796063091837674
actn1	0.9707835	False	0.006993006993006978	0.4375342966892263	-0.4305412896962193
s100a6	0.9701545	False	0.005244755244755206	0.14560087799524424	-0.14035612275048903
myh9	0.96907216	False	0.005244755244755206	0.1787086153283336	-0.1734638600835784
lgals1	0.96798426	True	0.010489510489510523	0.39070788366563014	-0.3802183731761196
ckm	0.96778286	True	0.3146853146853147	0.9859154929577465	-0.6712301782724318
ndp	0.9666706	True	0.9947552447552448	0.988293396744101	0.0064618480111438
actb	0.96329665	True	0.0	0.002012072434607659	-0.002012072434607659
cd63	0.9624469	True	0.0174825174825175	0.2498628132430949	-0.2323802957605774
krt14	0.9618487	True	0.0017482517482517723	0.5220413389427474	-0.5202930871944956
fth1	0.9610752	True	0.0017482517482517723	0.01188951893177248	-0.010141267183520708
ifitm3	0.9605425	True	0.01573426573426573	0.16059996341686478	-0.14486569768259905
hsp90aa1	0.9603515	False	0.006993006993006978	0.12328516553868663	-0.11629215854567965
igfbp7	0.96026295	True	0.005244755244755206	0.566489848179989	-0.5612450929352338
c1r	0.96012545	True	0.012237762237762184	0.45052130967623927	-0.4382835474384771
ncl	0.9599965	False	0.012237762237762184	0.21017011157856225	-0.19793234934080006
col1a1	0.9598913	True	0.0017482517482517723	0.592463874154015	-0.5907156224057633
pabpc1	0.9597991	False	0.00874125874125875	0.047375160051216336	-0.038633901309957586
krt5	0.9594897	True	0.0	0.5522224254618621	-0.5522224254618621
fstl1	0.9591895	True	0.012237762237762184	0.5915492957746479	-0.5793115335368857
tgfbi	0.9588826	False	0.0174825174825175	0.5308212913846717	-0.5133387739021542
tcap	0.95843697	True	0.22377622377622375	0.9914029632339492	-0.7676267394577254
txn	0.9577966	True	0.02622377622377625	0.304005853301628	-0.27778207707785174
jun	0.95766	True	0.010489510489510523	0.2981525516736784	-0.28766304118416786
jup	0.9575908	True	0.036713286713286664	0.5595390524967989	-0.5228257657835123
sparc	0.9572867	True	0.0034965034965035446	0.6208158039143954	-0.6173193004178918
ptges3	0.9569486	False	0.012237762237762184	0.3276019754892995	-0.3153642132515373
marcks	0.95576155	False	0.010489510489510523	0.46295957563563195	-0.4524700651461214
