	score	is_training	sparsity_sp	sparsity_sc	sparsity_diff
tcap	0.9790484	True	0.20412371134020624	0.9914029632339492	-0.7872792518937429
ndp	0.97529614	True	0.9876288659793815	0.988293396744101	-0.0006645307647195065
mylpf	0.97304034	True	0.3463917525773196	0.9877446497164807	-0.6413528971391611
s100a1	0.9619661	True	0.8216494845360824	0.9914029632339492	-0.16975347869786672
ckm	0.95981574	True	0.3876288659793814	0.9859154929577465	-0.5982866269783651
actc1	0.9572985	True	0.5288659793814433	0.9577464788732395	-0.4288804994917962
col1a1	0.94552636	True	0.05876288659793816	0.592463874154015	-0.5337009875560769
actn2	0.9426648	True	0.7288659793814434	0.9837205048472654	-0.254854525465822
col1a2	0.93907875	True	0.0	0.7495884397292848	-0.7495884397292848
ubc	0.9370076	False	0.009278350515463885	0.03530272544357049	-0.02602437492810661
s100a6	0.9369968	False	0.012371134020618513	0.14560087799524424	-0.13322974397462573
gstp1	0.93544096	False	0.013402061855670055	0.27601975489299435	-0.2626176930373243
col3a1	0.93395585	True	0.0	0.772635814889336	-0.772635814889336
fn1	0.9322567	True	0.061855670103092786	0.6848362904700933	-0.6229806203670005
gabarap	0.9272427	False	0.024742268041237137	0.23943661971830987	-0.21469435167707274
sparc	0.9244882	True	0.10515463917525769	0.6208158039143954	-0.5156611647391377
ifi6	0.9232623	False	0.0010309278350515427	0.19370770074995425	-0.1926767729149027
serf2	0.9212082	False	0.04226804123711336	0.08725077739162246	-0.044982736154509095
itm2b	0.92087376	False	0.04845360824742273	0.13773550393268708	-0.08928189568526435
dcn	0.9173706	True	0.08865979381443301	0.749222608377538	-0.660562814563105
krt14	0.91709995	True	0.1556701030927835	0.5220413389427474	-0.3663712358499639
krt5	0.9163538	True	0.07319587628865976	0.5522224254618621	-0.4790265491732023
myf6	0.91234535	True	0.9402061855670103	0.9897567221510883	-0.04955053658407804
prrx1	0.9123096	True	0.09484536082474226	0.7797695262483995	-0.6849241654236572
hspb1	0.91062903	False	0.09175257731958764	0.2416316078287909	-0.14987903050920326
psap	0.9080722	True	0.1123711340206186	0.14377172123650994	-0.03140058721589134
hspa5	0.90629506	False	0.053608247422680444	0.12511432229742092	-0.07150607487474048
ifi27	0.90559375	False	0.15154639175257734	0.4333272361441376	-0.28178084439156026
eef2	0.9036308	False	0.09999999999999998	0.11926102066947142	-0.01926102066947144
cmya5	0.9034631	True	0.7628865979381443	0.9401865739893909	-0.1772999760512466
trim29	0.9032562	True	0.3185567010309278	0.641851106639839	-0.3232944056089112
lgals3bp	0.901179	False	0.11752577319587632	0.37644046094750316	-0.25891468775162685
