	group	names	scores	logfoldchanges	pvals	pvals_adj
0	non_tumor	MB	5.4932847	0.42055684	3.9452617093365156e-08	4.419590769452386e-08
1	non_tumor	PLA2G2A	3.5609622	0.20013388	0.0003694983535421577	0.00039454034332875754
2	non_tumor	HBA2	3.189428	0.7014538	0.0014255461115712876	0.0015058308295980167
3	non_tumor	CACNA1S	2.5381186	-0.14745402	0.011145018250083738	0.011569598851097231
4	non_tumor	ATP2A1	2.4261143	0.52452195	0.015261459005109407	0.015804991167907904
5	non_tumor	SLC2A4	2.259808	0.3088125	0.02383315953903696	0.02454702121144235
6	non_tumor	DLK1	1.9034451	-0.09692618	0.056982484725983135	0.058200403620016404
7	non_tumor	MYL3	1.6344465	0.07800053	0.10216512639109797	0.10364023357773289
8	non_tumor	PI16	1.4682449	0.026226208	0.14203770585068956	0.14367362650951462
9	non_tumor	CLEC3B	1.3364136	-0.058901396	0.18141411548198405	0.1831472367405692
10	non_tumor	MYOZ1	1.2299023	-0.011665035	0.21873369052294056	0.22044665499086466
11	non_tumor	TNXB	1.10189	0.071194984	0.27050952660723504	0.2720163102924989
12	non_tumor	PPP1R1A	0.9803645	0.10933458	0.32690623037757083	0.328270023365858
13	non_tumor	STRIT1	0.969954	-0.009845993	0.3320694190483773	0.3334032371999697
14	non_tumor	TMEM38A	0.9670767	-0.28327507	0.33350567497724093	0.3348193993476618
15	non_tumor	CCL14	0.85025954	-0.112050824	0.39518079636945436	0.3964312719927582
16	non_tumor	PLIN5	0.7086455	-0.5223095	0.47854446856787813	0.47983653494139317
17	non_tumor	CCN5	0.55839974	0.1533358	0.5765714698087161	0.5778161884790819
18	non_tumor	MRLN	0.46779186	-0.56492406	0.6399334485450161	0.6410184158591338
19	non_tumor	PLIN4	0.4347817	0.26707184	0.663720880028518	0.6647437200347263
20	non_tumor	MYBPC1	0.34966683	-0.04601273	0.7265887549380099	0.7275963510542568
21	non_tumor	PRKAA2	0.3362221	-0.23027943	0.736703370956894	0.7376681623678998
22	non_tumor	HMCN2	0.19963025	-0.021153618	0.8417697671142779	0.8423530243245348
23	non_tumor	MLIP	0.17370866	-0.6106418	0.862094430931457	0.8625589572201584
24	non_tumor	SCN4A	0.13525787	-0.19098721	0.8924079975075659	0.8926827113747378
25	non_tumor	SLC36A2	0.06146896	-0.23963888	0.9509857353244034	0.9511320858530775
26	non_tumor	IGF1	0.03342865	-0.40449435	0.9733327626163343	0.9733327626163343
27	non_tumor	NOS1	-0.05691764	-1.1929075	0.954610802649023	0.9546842511988921
28	non_tumor	ATP6V1FNB	-0.09123563	-0.64990467	0.9273053656820436	0.9275194415648482
29	non_tumor	CHRND	-0.13983534	-0.68297297	0.8887900896169272	0.8891321161272084
30	non_tumor	TRIM63	-0.15913922	-0.09021719	0.8735591971124854	0.8739626265446494
31	non_tumor	BEST3	-0.18163423	-0.2801785	0.8558697820010923	0.8563968765550576
32	non_tumor	HJV	-0.26387185	-0.41125566	0.7918786662478018	0.7924883664835947
33	non_tumor	CDH15	-0.28579143	-1.8419973	0.7750378795494439	0.77569433728988
34	non_tumor	TGFBR3	-0.3004655	-0.96492743	0.7638221086707593	0.7645279353536524
35	non_tumor	IP6K3	-0.30457214	-0.26535043	0.7606920345280289	0.7614536052980608
36	non_tumor	MYBPC2	-0.31717983	-1.1069535	0.7511071576028151	0.7519170390111977
37	non_tumor	MYL1	-0.3252885	0.019631835	0.7449627367461689	0.7458234346627669
38	non_tumor	EVX2	-0.33206317	-2.1086009	0.7398415674012608	0.7407534041812963
39	non_tumor	AMPD1	-0.37807333	-1.1267867	0.7053761206991636	0.706408723079415
40	non_tumor	CTNNA3	-0.43561873	-0.8777459	0.6631133741298492	0.6641864558017863
41	non_tumor	GCNT3	-0.5228	-1.7902582	0.6011134189767866	0.6021789764824873
42	non_tumor	LRRN4CL	-0.53961897	-1.0126016	0.5894598225500975	0.5905502368973461
43	non_tumor	HAS1	-0.54267937	-0.6600318	0.5873505928861512	0.5884824640664607
44	non_tumor	MYH13	-0.5478323	-1.5843896	0.5838070701950053	0.5849772046249367
45	non_tumor	CKM	-0.55193895	0.0070732697	0.5809901939132947	0.582199563679362
46	non_tumor	KCNJ11	-0.57341385	-1.2316954	0.5663645273772333	0.5676309759310108
47	non_tumor	ZBTB16	-0.57571566	-0.4586228	0.5648073968977374	0.5661140148732874
48	non_tumor	HAVCR1	-0.58084244	-2.1527936	0.5613466620361429	0.5626886645442882
49	non_tumor	CNMD	-0.59140986	-2.1964152	0.5542458422163742	0.555613717193308
50	non_tumor	KCNT1	-0.64696735	-1.1317706	0.5176530907641858	0.5189706805825597
51	non_tumor	GPC3	-0.70493126	-0.6697066	0.4808530245166538	0.48211413241803963
52	non_tumor	KCNIP4	-0.75211847	-3.023443	0.4519798117484505	0.45323511750550527
53	non_tumor	C19orf81	-0.7593378	-3.66858	0.44765050353385516	0.4489284194840714
54	non_tumor	OR13C3	-0.8232132	-3.9356692	0.4103867550524605	0.4115900495502995
55	non_tumor	NTS	-0.82569814	-2.3717234	0.40897535299754395	0.4102061608351012
56	non_tumor	SMYD1	-0.8497364	-0.7914569	0.3954716469321923	0.3966924268270285
57	non_tumor	CDHR4	-0.8601469	-3.3504777	0.3897080686384905	0.3909714013710327
58	non_tumor	ATP2B2	-0.87076664	-2.3657813	0.38388157952087476	0.3851557522664863
59	non_tumor	HIF3A	-0.8798693	-1.6863251	0.3789301256432631	0.38021721268420056
60	non_tumor	CHST9	-0.8865655	-1.097877	0.3753128870802048	0.3766167610799431
61	non_tumor	LRRC39	-0.8981792	-0.40815142	0.36909002730241036	0.370400878233225
62	non_tumor	SLC25A34	-0.92820746	-0.9702248	0.3532999823851175	0.35458213041786407
63	non_tumor	C1QTNF9	-0.9370485	-2.6048667	0.34873361338678543	0.3500262167414237
64	non_tumor	PGLYRP2	-0.9487668	-2.8970537	0.3427392145172532	0.3440361657498847
65	non_tumor	CHRM5	-0.957294	-3.3963354	0.33841887516156266	0.3397257135735242
66	non_tumor	SBSPON	-0.97039866	-2.0629485	0.33184780930943303	0.33320647550436544
67	non_tumor	GRID2	-0.9812277	-2.6904874	0.3264804802131914	0.3278678267643562
68	non_tumor	CTRB1	-0.99543095	-2.8793674	0.3195267233680542	0.3209093146606373
69	non_tumor	PDGFD	-1.008091	-0.4552856	0.3134108180736431	0.31479126909212685
