	group	names	scores	logfoldchanges	pvals	pvals_adj
0	non_tumor	UBC	45.09082	1.4815737	0.0	0.0
1	non_tumor	MB	42.787468	3.65089	0.0	0.0
2	non_tumor	TPM1	41.941254	2.7365453	0.0	0.0
3	non_tumor	HSPB6	41.82442	3.7778683	0.0	0.0
4	non_tumor	TNNT1	41.589443	3.785816	0.0	0.0
5	non_tumor	FOS	41.520348	3.469204	0.0	0.0
6	non_tumor	TNNT3	40.94913	3.4523857	0.0	0.0
7	non_tumor	MYLPF	40.928852	3.44404	0.0	0.0
8	non_tumor	MYL1	40.641834	3.791227	0.0	0.0
9	non_tumor	TTN	40.61825	3.5982482	0.0	0.0
10	non_tumor	CKM	40.548237	3.6810737	0.0	0.0
11	non_tumor	ACTB	40.102806	1.9282506	0.0	0.0
12	non_tumor	NR4A1	40.028927	3.4538012	0.0	0.0
13	non_tumor	TCAP	40.00187	3.130349	0.0	0.0
14	non_tumor	GNAS	39.928436	1.9521432	0.0	0.0
15	non_tumor	PDLIM3	39.909943	3.364838	0.0	0.0
16	non_tumor	GSN	39.799175	2.1626813	0.0	0.0
17	non_tumor	CCN1	39.709053	2.8148959	0.0	0.0
18	non_tumor	CRYAB	39.657623	3.4350026	0.0	0.0
19	non_tumor	IGFBP5	39.577988	3.3882565	0.0	0.0
20	non_tumor	TPM2	39.42555	2.1529806	0.0	0.0
21	non_tumor	TNNC1	39.324688	3.5074198	0.0	0.0
22	non_tumor	DES	38.775944	3.3426368	0.0	0.0
23	non_tumor	EEF2	38.712975	1.3534194	0.0	0.0
24	non_tumor	ATP2A1	38.65179	3.9256418	0.0	0.0
25	non_tumor	ENO3	38.637466	3.8444479	0.0	0.0
26	non_tumor	MYL2	38.55969	3.6598544	0.0	0.0
27	non_tumor	EGR1	38.512447	3.3840427	0.0	0.0
28	non_tumor	JUNB	37.97123	2.6169932	0.0	0.0
29	non_tumor	DCN	37.810745	1.8475419	0.0	0.0
30	non_tumor	EEF1G	36.884857	2.3496528	8.082452313160053e-298	3.3888940376275607e-295
